Company,Location,Job Function,Date of Submission,Hiring Interns,Year Founded,Size Range,Current Employee Estimate
Imply,"California, New York","Software Engineer,Product Manager,Marketing",4/8/20 5:06,No,2015,Nov-50,18
Impossible Foods,Florida,HR,4/17/20 18:51,No,2011,201 - 500,193
Infinera,New York,Customer Service,4/17/20 18:51,No,2001,1001 - 5000,1247
Ingenio,California,Product Manager,4/17/20 18:51,No,1999,51 - 200,59
Innovation Department,"New York, NY",Marketing,4/9/20 15:20,No,2014,Nov-50,15
Insight Recruiting,"San Mateo, CA, US",HR,4/17/20 18:51,No,2002,10-Jan,4
Instabase,"New York, California, Massachusetts","Software Engineer,HR",4/8/20 7:26,Yes,2015,Nov-50,6
Instacart,California,Legal,4/8/20 3:38,No,2012,1001 - 5000,872
Instagram,California,Operation,4/17/20 18:51,No,2010,1001 - 5000,1937
Instrumental,California,Software Engineer,4/7/20 21:25,No,2015,10-Jan,2
Integral!,California,Legal,4/16/20 5:22,No,1993,10-Jan,1
Inteliquent,California,Customer Service,4/17/20 18:51,No,2004,201 - 500,207
Intellipro Group Inc,California,HR,4/17/20 18:51,No,2009,51 - 200,72
Intuit,California,Product Manager,4/7/20 22:32,Yes,1983,10001+,7358
Intuitive Technology Group,Minnesota,Marketing,4/17/20 18:51,No,2006,Nov-50,21
Iterable,"California, Colorado, New York","Software Engineer,Finance/Accounting,Product Manager",4/8/20 0:11,No,2013,51 - 200,87
J.P. Morgan,Washington D.C.,Operation,4/16/20 5:13,No,2000,10001+,37431
"Johanna Foods, Inc.",New Jersey,Operation,4/17/20 18:51,No,1995,51 - 200,78
Joonko,Israel,Software Engineer,4/8/20 23:01,No,2016,Nov-50,6
Journey Meditation,New York,"Software Engineer,Product Manager",4/23/20 19:20,No,2015,Nov-50,23
Jumprope,New York,Software Engineer,4/17/20 9:56,No,2017,10-Jan,3
Jungle Scout,Texas,Product Manager,4/17/20 18:51,No,2015,51 - 200,35
Juniper Square,California,"Finance/Accounting,Business/Strategy,Sales,Customer Service,Software Engineer,Marketing,Product Designer,Product Manager,Consulting",4/8/20 1:08,No,2014,51 - 200,35
Jupiter,California,Software Engineer,4/23/20 19:20,No,2005,51 - 200,25
Jyve,California,"Software Engineer,Designer,Marketing,Data Science,Legal",4/23/20 19:20,No,2015,Nov-50,6
Kaiser Permanente,California,Legal,4/8/20 3:26,No,1945,10001+,65839
"Kane Is Able, Inc.",Pennsylvania,Operation,4/17/20 18:51,No,1930,201 - 500,184
Kanopy,California,"Software Engineer,Marketing,Sales,Product Manager",4/23/20 19:20,No,2008,Nov-50,18
Kargo,New York,Product Manager,4/17/20 18:51,No,2003,201 - 500,221
Kavaliro,California,HR,4/17/20 18:51,No,2010,51 - 200,77
Kemper,Washington,HR,4/17/20 18:51,No,1990,1001 - 5000,1445
Kensho,"Massachusetts, NY",Software Engineer,4/9/20 14:35,No,2008,Nov-50,6
Kerwin Associates,California,Operation,4/17/20 18:51,No,1989,10-Jan,3
Khan Academy,Remote,Software Engineer,4/7/20 22:55,Yes,2006,501 - 1000,286
Kinect,Washington D.C.,HR,4/17/20 18:51,No,2015,Nov-50,9
Kitty Hawk,California,HR,4/17/20 18:51,No,2015,201 - 500,105
Koan,Oregon,"Marketing,Customer Service",4/23/20 19:20,No,2016,10-Jan,3
Kustomer,New York,"Software Engineer,Operations",4/23/20 19:20,No,2015,51 - 200,41
Kuvio Creative,Remote,"Marketing,Sales",4/23/20 19:20,No,2015,Nov-50,8
Labelbox,California,Software Engineer,4/23/20 19:20,No,2017,10-Jan,4
Ladder,California,"Software Engineer,Operations,Marketing",4/23/20 19:20,No,2015,Nov-50,12
Lambda Labs,California,"Software Engineer,Designer,Marketing,Sales",4/23/20 19:20,No,2012,Nov-50,8
Lattice,California,"Software Engineer,Designer,Operations,Product Manager",4/23/20 19:20,No,2015,51 - 200,30
Level,California,Marketing,4/16/20 6:24,No,1986,51 - 200,39
Life360,California,Product Manager,4/17/20 10:01,No,2008,51 - 200,48
Liftoff,California,"Data Science,Software Engineer,Product Manager,Finance/Accounting,HR,Sales,Marketing,Designer,Operations",4/8/20 7:17,No,1996,10-Jan,1
Lightstep,California,"Software Engineer,Marketing,Sales,Customer Service,Product Manager",4/23/20 19:20,No,2015,51 - 200,34
Lilt,California,"Software Engineer,Product Manager,Sales,Marketing,Operations,Data Science,Product Designer,Business/Strategy,Other",4/8/20 6:54,No,2015,Nov-50,18
Lively,New York,"Software Engineer,Designer,Operations,Marketing,Finance/Accounting",4/23/20 19:20,No,2012,10-Jan,5
Lob,California,"Software Engineer,Designer,Product Manager",4/23/20 19:20,No,2013,51 - 200,63
Lockheed Martin,California,"Hardware Engineer,HR,Software Engineer",4/8/20 6:53,Yes,1912,10001+,50303
Loom,California,"Software Engineer,Designer,Operations,Marketing,Sales,Data Science",4/23/20 19:20,No,2015,Nov-50,12
Lucid Motors,California,"Software Engineer,Hardware Engineer,Designer,Operations,Marketing,Sales,Customer Service,Data Science,Product Manager,Finance/Accounting",4/23/20 19:20,No,2007,201 - 500,145
Lyft,California,Product Manager,4/17/20 10:00,Yes,2012,10001+,6594
Major League Baseball,Colorado,Product Manager,4/17/20 18:51,No,1869,1001 - 5000,1555
Marlo,Texas,"Software Engineer,Designer",4/23/20 19:20,No,2018,10-Jan,1
Marvel Consultants,California,HR,4/17/20 18:51,No,1973,Nov-50,18
Marvel Marketers,US,Marketing,4/17/20 10:00,No,2013,Nov-50,17
Mastech Digital,California,Operation,4/16/20 5:01,No,1986,501 - 1000,496
Mastercard,Deleware,Data Science,4/16/20 6:22,Yes,1966,10001+,9974
Masterclass,California,Product Manager,4/23/20 19:20,No,2015,201 - 500,113
Maxar Technologies,California,Business/Strategy,4/17/20 18:51,No,1969,51 - 200,57
Maxim Integrated,California,Business/Strategy,4/16/20 6:13,No,1983,5001 - 10000,4087
Medallia,New York,"Business/Strategy,Sales",4/24/20 16:18,No,2001,1001 - 5000,868
Mednet,New York,Software Engineer,4/17/20 10:00,No,1992,51 - 200,44
Meraki,"California, Illinois, Texas","Software Engineer,Data Science,HR,Finance/Accounting,Sales,Marketing,Hardware Engineer,Operations",4/8/20 6:49,No,2011,Nov-50,5
Mercury,California,"Designer,Operations,Marketing,Customer Service",4/23/20 19:20,No,1999,501 - 1000,269
Meredith Corporation,New York,Product Manager,4/17/20 18:51,No,1902,1001 - 5000,2179
Messari,New York,Software Engineer,4/8/20 6:48,No,2018,Nov-50,12
Michael Page,Georgia,Operation,4/17/20 18:51,No,1976,10001+,5568
Microsoft,Washington,Software Engineer,4/7/20 22:55,Yes,1975,10001+,116196
Mighty,New York,"Designer,Operations,Marketing,Sales,Product Manager,Finance/Accounting",4/23/20 19:20,No,2010,Nov-50,18
Miro,California,"Operations,Marketing,Sales,Customer Service,Finance/Accounting,Product Manager",4/23/20 19:20,No,2000,51 - 200,66
Mission Bio,Missouri,HR,4/17/20 18:51,No,2014,51 - 200,27
Mission Foods,California,HR,4/17/20 18:51,No,1977,1001 - 5000,868
Modern Energy,North Carolina,Finance/Accounting,4/8/20 1:17,No,2012,10-Jan,4
Modern Fertility,California,"Software Engineer,Designer,Marketing",4/23/20 19:20,No,2017,Nov-50,7
Modern Health,California,"Software Engineer,Marketing,Sales,Customer Service,Product Manager,Legal",4/23/20 19:20,No,2017,Nov-50,6
Mondo,New Jersey,Marketing,4/17/20 9:56,No,2000,201 - 500,232
Morgan Stanley,US,Finance/Accounting,4/7/20 22:55,Yes,1935,10001+,44799
Mosaic,California,HR,4/17/20 18:51,No,1913,1001 - 5000,1167
Motion Picture Association,California,Operation,4/17/20 18:51,No,1922,10-Jan,1
Movement Search & Delivery,Oregon,HR,4/17/20 18:51,No,2009,51 - 200,40
Mozilla,Remote,"Product Manager,Software Engineer,Data Science,Designer,Finance/Accounting,HR,Marketing,Legal,Other,Business/Strategy,Product Designer",4/12/20 1:38,Yes,2005,1001 - 5000,1301
Nacelle,Remote,Software Engineer,4/10/20 14:17,No,2009,10-Jan,2
Narmi,"New York, Remote",Software Engineer,4/24/20 16:18,No,2016,10-Jan,1
Neon,Canada,Sales,4/8/20 12:30,No,2016,201 - 500,126
Nerdwallet,California,"Product Manager,Marketing",4/8/20 0:13,No,2009,201 - 500,246
Netflix,California,Marketing,4/16/20 4:58,No,1997,5001 - 10000,4949
New England Legal Search,Minnesota,Operation,4/17/20 18:51,No,1982,10-Jan,4
"New Relic, Inc.",New Jersey,Operation,4/17/20 18:51,No,2008,1001 - 5000,859
New York Life Insurance Company,New York,Software Engineer,4/24/20 16:18,No,1845,10001+,18438
New York Times,New York,Data Science,4/8/20 1:04,Yes,1851,Nov-50,19
Newsela,New York,"Product Designer,Marketing",4/8/20 6:44,No,2013,201 - 500,164
Nextdoor,"California, New York","Business/Strategy,Customer Service,Data Science,Designer,Product Designer,Software Engineer,Finance/Accounting,Marketing,Product Manager,Sales",4/8/20 4:05,Yes,2010,201 - 500,206
Nexteer Automotive,Washington,Operation,4/17/20 18:51,No,1906,5001 - 10000,2664
Nomad Health,New York,"Software Engineer,Operations,Marketing,Product Manager,Finance/Accounting",4/23/20 19:20,No,2015,10-Jan,1
Noom,New York,Marketing,4/24/20 16:18,No,2008,Nov-50,5
Noom Inc.,New York,Marketing,4/16/20 4:58,No,2008,201 - 500,130
Northrop Grumman,Utah,Hardware Engineer,4/22/20 15:58,Yes,1994,10-Jan,2
Northwestern Mutual,Wisconsin,Software Engineer,4/8/20 1:05,Yes,1857,10001+,19406
Notion,California,"Customer Service,Designer,Marketing,Product Designer,HR,Sales,Software Engineer,Product Manager",4/8/20 3:57,No,2016,Nov-50,17
Nova Credit,California,"Software Engineer,Operations,Marketing,Customer Service,Finance/Accounting",4/23/20 19:20,No,2015,Nov-50,13
Nu Skin,Utah,"Sales,Marketing,Finance/Accounting",4/28/20 17:25,No,1984,201 - 500,162
Nuro,California,"Finance/Accounting,Legal,Product Designer,Product Manager",4/8/20 6:42,No,2016,51 - 200,76
Nvidia,"Washington, New York, Colorado, California, Texas, Oregon, Remote","Software Engineer,Sales,HR,Operations,Finance/Accounting,Other,Legal,IT",4/8/20 4:30,Yes,1993,10001+,7402
Nylas,"California, New York","Customer Service,Software Engineer,Marketing,Sales",4/8/20 6:40,No,2013,Nov-50,24
Okcupid,New York,Software Engineer,4/7/20 19:41,No,2003,51 - 200,55
"Okta, Inc.",Utah,Operation,4/16/20 6:30,No,2009,1001 - 5000,824
Omada Health,California,"Software Engineer,Sales,Product Manager,Operations,Product Designer",4/21/20 16:10,No,2011,201 - 500,194
Omni Family Health,Tennessee,Operation,4/17/20 18:51,No,1978,51 - 200,36
One Degree,Remote,Software Engineer,4/23/20 19:20,No,2006,Nov-50,4
Onramp,New York,Software Engineer,4/24/20 16:18,No,1994,51 - 200,58
Optimun Media Direction,California,Operation,4/17/20 18:51,No,1989,10-Jan,2
Oracle,Oklahoma,Product Manager,4/17/20 18:51,Yes,1977,10001+,85090
Orchard,New York,"Software Engineer,Designer,Marketing",4/23/20 19:20,No,1992,51 - 200,79
Osmosis,Remote,"Operations,Marketing,Sales,Finance/Accounting",4/23/20 19:20,No,2011,Nov-50,7
Otis,New York,Marketing,4/17/20 18:51,No,2017,10-Jan,1
Outreach,Washington,Marketing,4/16/20 6:15,No,2010,Nov-50,14
Outsystems,Massachusetts,Finance/Accounting,4/17/20 18:51,No,2001,1001 - 5000,599
Pager,New York,Software Engineer,4/9/20 15:42,No,2014,51 - 200,60
Paige,New York,Software Engineer,4/24/20 16:18,No,2018,10-Jan,1
Palantir,"New York, California, Washington, Washington D.C.","Other,Business/Strategy,Finance/Accounting,Software Engineer,Legal",4/8/20 4:46,Yes,2002,201 - 500,121
Panzura,West Virginia,Operation,4/17/20 18:51,No,2008,51 - 200,65
Paradigm,Illinois,Customer Service,4/17/20 18:51,No,1992,501 - 1000,444
Parallel Domain,California,Software Engineer,4/23/20 19:20,No,2017,10-Jan,4
Parity Technologies,Germany,"Software Engineer,Operations",4/23/20 19:20,No,2015,Nov-50,19
Particle Health,New York,Software Engineer,4/17/20 10:00,No,2017,10-Jan,1
Patreon,California,"Software Engineer,Marketing",4/8/20 5:48,No,2013,201 - 500,137
Peloton,New York,Software Engineer,4/24/20 16:18,Yes,1991,51 - 200,56
Peter Millar,North Carolina,Marketing,4/16/20 6:12,No,2001,201 - 500,173
Phaidon International,New York,HR,4/17/20 18:51,No,2004,201 - 500,141
Philo,California,"Software Engineer,Designer,Marketing",4/23/20 19:20,No,2011,51 - 200,27
Pinterest,"California, Washington, Illinois, New York","Finance/Accounting,Business/Strategy,IT,HR,Software Engineer,Marketing,Sales,Product Manager,Other,Legal,Designer",4/8/20 4:17,Yes,2010,1001 - 5000,1307
Pinwheel,New York,Software Engineer,4/24/20 16:18,No,2016,Nov-50,7
Plaid,California,"Software Engineer,Designer,Operations,Marketing,Sales,Finance/Accounting,Product Manager",4/23/20 19:20,Yes,2012,51 - 200,100
Plum,India,"Software Engineer,Designer,Data Science",4/23/20 19:20,No,1998,201 - 500,103
"Plume Design, Inc",California,Product Manager,4/17/20 18:51,No,2015,51 - 200,58
Populus Group,Maryland,HR,4/17/20 18:51,No,2002,501 - 1000,327
Postman,California,Marketing,4/17/20 9:54,No,2014,Nov-50,9
Postmates,California,Finance/Accounting,4/8/20 0:32,No,2011,1001 - 5000,1144
Pratt Institute,Connecticut,Operation,4/17/20 18:51,No,1887,1001 - 5000,1476
Premera Blue Cross,Florida,HR,4/17/20 18:51,No,1933,1001 - 5000,1737
Premier Group,California,Operation,4/17/20 18:51,No,1971,51 - 200,57
Procter & Gamble,Arkansas,Marketing,4/16/20 5:07,No,1837,10001+,40562
Project Ronin,California,Software Engineer,4/23/20 19:20,No,2018,Nov-50,8
Proofpoint,California,Software Engineer,4/22/20 16:07,Yes,2002,1001 - 5000,1251
Propel,New York,Sales,4/8/20 1:04,No,2009,Nov-50,14
Protocol Labs,Remote,Software Engineer,4/21/20 13:04,No,2014,Nov-50,23
Public Consulting Group,Arizona,Business/Strategy,4/17/20 10:01,No,1986,1001 - 5000,1152
Pure Storage,"California, Washington D.C., Texas, Georgia, Washington, New York, Illinois, Ohio, Utah","Business/Strategy,Software Engineer,Sales,Other,Finance/Accounting,Legal,Marketing,Customer Service,Operations,HR",4/8/20 4:40,Yes,2009,1001 - 5000,1457
"Qbrics, Inc",Colorado,"Designer,Marketing",4/23/20 19:20,No,2017,10-Jan,1
Qualia,California,"Software Engineer,Designer,Product Manager",4/23/20 19:20,No,2015,51 - 200,73
Qualio,California,"Marketing,Sales",4/23/20 19:20,No,2012,Nov-50,6
Qualtrics,New York,Customer Service,4/24/20 16:18,Yes,2002,1001 - 5000,1379
Quicken Loans,Michigan,"Data Science,Software Engineer,Operations,IT",4/19/20 12:51,Yes,1985,10001+,6894
Quotient Technology Inc.,Oregon,Operation,4/17/20 18:51,No,1998,501 - 1000,452
"R2 Technologies, Inc.",Illinois,HR,4/17/20 18:51,No,1997,Nov-50,10
Rakuten Europe,California,HR,4/17/20 18:51,No,1997,51 - 200,17
Ramp,New York,Software Engineer,4/17/20 10:00,No,2019,51 - 200,43
Randstad Sourceright,California,HR,4/17/20 18:51,No,2001,1001 - 5000,1215
Red Hat,Virginia,"IT,Sales,Software Engineer,Consulting,Data Science",4/15/20 22:24,No,1993,10001+,7609
Redis Labs,California,Operation,4/17/20 18:51,No,2011,201 - 500,104
Reed Business Information - Catch,California,Customer Service,4/17/20 18:51,No,1918,10-Jan,1
Remind,California,"Software Engineer,Designer,Operations,Marketing,Customer Service,Finance/Accounting,Finance/Accounting/Accounting",4/23/20 19:20,No,2011,51 - 200,55
Render,California,Software Engineer,4/23/20 19:20,No,2010,Nov-50,11
Renzoe Box,Texas,"Software Engineer,Designer,Operations,Marketing,Sales,Customer Service",4/23/20 19:20,No,2016,10-Jan,2
Resilia,California,Software Engineer,4/7/20 19:41,No,2011,10-Jan,3
Retool,California,"Software Engineer,Designer,Marketing",4/8/20 1:12,No,2016,10-Jan,1
Revel,California,Software Engineer,4/23/20 19:20,No,2006,51 - 200,35
Revolution Foods,Florida,Legal,4/17/20 18:51,No,2006,201 - 500,190
Rheaply,Illinois,Software Engineer,4/23/20 19:20,No,2015,10-Jan,3
Ribbon Health,New York,"Software Engineer,Operations,Marketing,Data Science,Product Manager",4/23/20 19:20,Yes,2016,10-Jan,2
Ridgeline,California,Software Engineer,4/23/20 19:20,No,2019,Nov-50,4
Rightway Healthcare,New York,Marketing,4/17/20 18:51,No,2017,10-Jan,4
Rimeto,California,"Software Engineer,Designer,Operations,Product Manager",4/23/20 19:20,No,2016,Nov-50,7
Rippling,New Jersey,Business/Strategy,4/17/20 18:51,No,2016,Nov-50,15
Robinhood,"California, Tennessee","Business/Strategy,Marketing,Customer Service,Designer,Product Designer,Software Engineer,Finance/Accounting,Data Science,Operation",4/8/20 4:00,Yes,2012,201 - 500,159
Roblox,California,Software Engineer,4/7/20 21:36,Yes,2006,501 - 1000,389
Roche,California,Legal,4/16/20 5:01,No,1896,10001+,34844
"Ross Stores, Inc.",California,HR,4/17/20 18:51,No,1957,10001+,7522
Salesforce,"California, Georgia, Massachusetts","Business/Strategy,Operations",4/8/20 1:14,Yes,1999,10001+,20885
Samsung Electronics America,Oregon,Operation,4/17/20 9:56,No,1938,5001 - 10000,2828
San Dimas Community Hospital,Missouri,HR,4/17/20 18:51,No,1971,Nov-50,7
San Jose State University,California,HR,4/17/20 18:51,No,1857,5001 - 10000,3874
Satwic Inc,Oregon,Operation,4/17/20 18:51,No,2000,51 - 200,37
Schneider Downs,"Ohio, Pennsylvania",Finance/Accounting,4/20/20 14:08,No,1956,501 - 1000,403
Second Measure,New York,Software Engineer,4/16/20 5:28,No,2015,Nov-50,21
Segment,"California, New York, Colorado","Customer Service,Product Designer,Software Engineer,Finance/Accounting,Marketing,HR,Business/Strategy,IT,Operation",4/8/20 6:04,No,2012,201 - 500,201
Sensor Tower,California,"Software Engineer,Marketing,Sales,Customer Service,Data Science,Product Manager",4/23/20 19:20,No,2012,51 - 200,33
Sentry,"California, Wisconsin",Product Designer,4/8/20 1:15,No,2017,Nov-50,9
Sequoia,Illinois,Operation,4/16/20 5:28,No,2007,Nov-50,14
Sequoia Consulting Group,"California, Arizona","Marketing,Operations,Data Science",4/8/20 1:14,No,2001,201 - 500,207
Serial Box,Remote,Marketing,4/24/20 16:18,No,2015,10-Jan,5
Shakepay,Canada,"Software Engineer,Designer,Operations,Marketing,Finance/Accounting",4/23/20 19:20,No,2015,10-Jan,3
Shift,California,"Product Manager,Software Engineer,Legal,HR",4/21/20 22:17,No,1995,51 - 200,52
"Shift Technologies, Inc.",California,Product Manager,4/17/20 18:51,No,2013,201 - 500,120
"Shimento, Inc.",California,Marketing,4/17/20 10:00,No,2006,Nov-50,16
Shipt,"California, Alabama","Marketing,Operations,Product Manager,Software Engineer,Data Science,Business/Strategy",4/9/20 0:14,No,2014,1001 - 5000,634
"Shutterfly, Inc.",California,Marketing,4/17/20 10:00,No,1999,1001 - 5000,1158
Side,California,Product Manager,4/17/20 18:51,No,1974,51 - 200,49
Silicon Valley Bank,"California, Arizona","Software Engineer,Product Manager,Data Science",4/9/20 14:17,No,1983,1001 - 5000,1697
Silvi Group Companies,Ohio,Data Science,4/17/20 10:00,No,1947,51 - 200,33
Similarweb,New York,"Software Engineer,Legal,Product Manager",4/9/20 0:15,No,2007,501 - 1000,311
Sisu Data,California,"Software Engineer,Designer,Product Manager",4/23/20 19:20,No,2018,Nov-50,4
Skydio,California,"Software Engineer,Hardware Engineer,Operations",4/23/20 19:20,No,2014,51 - 200,47
Skylight Financial Group,California,HR,4/17/20 18:51,No,2017,201 - 500,135
Slack,US,Marketing,4/7/20 22:55,Yes,2009,1001 - 5000,788
Smartcar,California,"Software Engineer,Marketing,Sales",4/23/20 19:20,No,1996,10-Jan,4
Smartsheet,Washington,Finance/Accounting,4/17/20 18:51,No,2005,1001 - 5000,658
Snap,California,Software Engineer,4/24/20 23:41,Yes,1966,51 - 200,47
Snapchat,Washington,Software Engineer,4/7/20 22:43,No,2011,Nov-50,7
Softworld,New York,Customer Service,4/17/20 18:51,No,1993,201 - 500,123
Solar Winds,Texas,Customer Service,4/17/20 18:51,No,2010,10-Jan,1
Sparrow,California,"Software Engineer,Operations,Marketing,Sales",4/23/20 19:20,No,2002,201 - 500,70
Special Counsel,California,Operation,4/17/20 18:51,No,1987,1001 - 5000,537
Specialized Bicycle Components,New York,HR,4/17/20 18:51,No,1974,1001 - 5000,887
Spin,"California, Florida, Washington, Georgia, Maryland","Business/Strategy,Designer,Product Designer,Software Engineer,Data Science,Hardware Engineer,Finance/Accounting,Marketing,Operations,HR,Product Manager",4/8/20 4:14,No,2016,201 - 500,99
Split,California,Marketing,4/17/20 18:51,No,2015,51 - 200,27
Spoke,California,HR,4/16/20 5:45,No,2016,Nov-50,6
Spokeo,California,"Software Engineer,Designer,Marketing,Product Manager,Legal",4/23/20 19:20,No,2006,51 - 200,89
Spot,California,"Software Engineer,Designer,Operations,Marketing,Sales,Customer Service,Finance/Accounting,Data Science,Product Manager",4/23/20 19:20,No,1998,201 - 500,128
Spotify,New York,Software Engineer,4/7/20 19:41,No,2006,5001 - 10000,3022
Spreetail,Nebraska,Marketing,4/22/20 16:58,No,2006,201 - 500,196
Sqreen,California,"Software Engineer,Marketing,Sales",4/23/20 19:20,No,2015,Nov-50,17
Square,California,Product Manager,4/17/20 10:00,Yes,2009,1001 - 5000,1826
Squarespace,New York,"Product Manager,Software Engineer,Designer,Data Science",4/25/20 22:43,No,2004,1001 - 5000,605
Starbucks,Washington,Customer Service,4/17/20 10:01,Yes,1971,10001+,46523
Stash Wealth,North Carolina,"Operations,Marketing",4/23/20 19:20,No,2013,10-Jan,3
States Title,California,"Software Engineer,Designer,Operations,Finance/Accounting,Data Science",4/23/20 19:20,No,2016,Nov-50,17
Steadfast Companies,US,Other,4/22/20 17:57,No,1994,501 - 1000,274
Stealth Startup,California,HR,4/17/20 18:51,No,2018,51 - 200,36
Stella,New York,Software Engineer,4/24/20 16:18,No,2009,51 - 200,36
Stensul,New York,Software Engineer,4/17/20 10:00,No,2016,51 - 200,36
Step,California,"Software Engineer,Designer,Operations,Data Science",4/23/20 19:20,No,2016,51 - 200,51
Stockell Consulting,New Jersey,Customer Service,4/17/20 18:51,No,1980,51 - 200,41
Strategic Financial Solutions,New York,Software Engineer,4/16/20 5:13,No,1996,Nov-50,14
Stripe,"California, Illinois, New York, Washington","Business/Strategy,Customer Service,Data Science,Designer,Finance/Accounting,HR,Legal,Operations,Product Designer,Product Manager,Sales,Other,Software Engineer,Marketing,Hardware Engineer,IT",4/14/20 15:59,Yes,2010,1001 - 5000,715
Strivr,California,"Software Engineer,Designer,Operations,Marketing,Customer Service,Finance/Accounting,Data Science,Product Manager",4/23/20 19:20,No,2015,51 - 200,52
Summer,New York,"Software Engineer,Finance/Accounting,Data Science",4/23/20 19:20,No,2017,Nov-50,8
Surgent,Colorado,Customer Service,4/17/20 18:51,No,1985,51 - 200,60
Swogo,Portugal,"Software Engineer,Designer,Marketing,Sales,Customer Service",4/23/20 19:20,No,2012,Nov-50,13
Swoon,Illinois,IT,4/13/20 12:20,No,2012,Nov-50,7
Swoop,California,Software Engineer,4/22/20 13:40,No,2017,51 - 200,46
System One,Illinois,HR,4/17/20 18:51,No,2001,1001 - 5000,525
T-Mobile,"Washington, New York, California","Sales,Software Engineer,Product Manager,Marketing",4/9/20 0:18,No,2002,10001+,30100
T. Rowe Price,Maryland,"Marketing,Business/Strategy",4/17/20 17:23,No,1937,5001 - 10000,4991
Tableau Software,California,HR,4/17/20 18:51,No,2003,5001 - 10000,2543
Tailwind,Oklahoma,"Software Engineer,Designer,Marketing",4/23/20 19:20,No,2012,Nov-50,21
Talend,California,HR,4/17/20 18:51,Yes,2005,1001 - 5000,596
Tapjoy,California,Data Science,4/7/20 22:36,No,2007,201 - 500,140
"Tapjoy, Inc.",California,Legal,4/8/20 3:33,No,2007,10-Jan,2
"Techaxis, Inc",North Carolina,HR,4/17/20 18:51,No,2007,51 - 200,31
Teledyne Marine,Massachusetts,Operation,4/17/20 18:51,No,1962,51 - 200,65
Teleport,Remote,Software Engineer,4/23/20 19:20,No,2013,10-Jan,3
Tencent,California,Marketing,4/16/20 6:07,No,1998,10001+,37574
Tesla,California,HR,4/17/20 18:51,Yes,2003,10001+,12641
The Athletic,California,Product Manager,4/17/20 18:51,No,2016,201 - 500,129
The Chartis Group,Illinois,"Consulting,Finance/Accounting",4/22/20 15:16,No,2001,201 - 500,232
The Execu|Search Group,Arizona,HR,4/17/20 18:51,No,1985,501 - 1000,316
The Judge Group,California,Software Engineer,4/7/20 19:41,No,1970,1001 - 5000,742
The Kraft Heinz Company,California,HR,4/17/20 18:51,No,2015,10001+,8898
The Meta,California,Software Engineer,4/23/20 19:20,No,2017,10-Jan,3
The Mom Project,California,Operation,4/16/20 5:20,No,2015,Nov-50,21
The Orchard,New York,Product Manager,4/17/20 18:51,No,1997,501 - 1000,341
The Sage Group,California,Customer Service,4/17/20 10:00,No,1988,51 - 200,36
The Sage Group (Bay Area),California,Marketing,4/17/20 18:51,No,2003,Nov-50,24
The Spike Lab,New York,"Marketing,Sales,Customer Service",4/23/20 19:20,No,2016,10-Jan,2
The Zebra,Texas,"Software Engineer,Designer",4/23/20 19:20,No,2012,51 - 200,69
Themesoft Inc.,California,HR,4/17/20 18:51,No,2004,51 - 200,90
Thirstysprout,Washington,"Consulting,Software Engineer",4/8/20 18:05,No,2015,10-Jan,4
Thistle,California,Product Manager,4/17/20 18:51,No,2013,51 - 200,37
Three Pillars Recruiting,California,Marketing,4/17/20 18:51,No,2008,51 - 200,36
Tinder,California,Product Manager,4/8/20 0:04,Yes,2007,Nov-50,8
Tonkean,California,"Software Engineer,Designer,Operations,Marketing,Sales,Customer Service,Finance/Accounting",4/23/20 19:20,No,2015,Nov-50,7
Tot Squad,California,"Designer,Operations,Marketing,Product Manager",4/23/20 19:20,No,2010,Nov-50,6
Total Expert,Minnesota,"Software Engineer,Marketing,Sales,Customer Service,Product Manager",4/23/20 19:20,No,2012,201 - 500,108
Tovala,Illinois,"Software Engineer,Designer,Operations,Marketing,Finance/Accounting,Product Manager",4/23/20 19:20,No,2015,51 - 200,17
Treasury Wine Estates,California,HR,4/17/20 18:51,No,2011,1001 - 5000,1420
Tridiuum,Ohio,Customer Service,4/17/20 18:51,No,1997,Nov-50,8
Trifacta,California,Product Designer,4/24/20 0:57,No,2012,51 - 200,94
Trim,California,Business/Strategy,4/17/20 18:51,No,2006,Nov-50,22
Trinet,"North Carolina, Illinois, Florida, California, New Jersey, Washington, Massachusetts, Texas","Sales,Software Engineer",4/9/20 0:40,No,1988,1001 - 5000,2243
Triplebyte,Remote,"Software Engineer,Data Science",4/23/20 19:20,No,2015,Nov-50,25
Truebill,California,Marketing,4/12/20 19:08,No,2015,Nov-50,12
Tubi,California,Product Manager,4/17/20 18:51,No,2014,51 - 200,56
Twilio Inc.,California,Marketing,4/16/20 5:07,No,2008,1001 - 5000,689
Twist Bioscience,California,Operation,4/16/20 5:01,No,2013,201 - 500,141
Twitch,California,HR,4/17/20 18:51,Yes,2007,1001 - 5000,1646
Twitter,California,Hardware Engineer,4/17/20 14:42,Yes,2006,5001 - 10000,4813
Tyk,Remote,"Software Engineer,Designer,Marketing",4/23/20 19:20,No,2015,Nov-50,16
Typeform,Remote,"Software Engineer,Other,Marketing,HR,Product Designer,Data Science,Designer",4/9/20 0:11,No,1983,Nov-50,9
Uline,Illinois,HR,4/17/20 18:51,No,1980,1001 - 5000,1963
Unavailable,California,Operation,4/17/20 18:51,No,1984,501 - 1000,312
Unilever,California,HR,4/17/20 18:51,No,1872,10001+,58819
