Company,Location,Job Function,Date of Submission,Hiring Interns,Year Founded,Size Range,Current Employee Estimate
Back Market,California,HR,4/17/20 18:51,No,2014,51 - 200,51
Baker Hughes,North Carolina,Customer Service,4/17/20 18:51,No,1907,10001+,29481
Barclays,Virginia,"Operation,Finance/Accounting",4/16/20 5:22,Yes,1986,10001+,36200
Barings,North Carolina,Finance/Accounting,4/9/20 23:10,No,1989,1001 - 5000,867
Beacon Hill Staffing Group,New York,HR,4/17/20 18:51,No,2000,1001 - 5000,831
Because,California,Product Manager,4/17/20 18:51,No,2016,51 - 200,22
Belden Inc.,California,HR,4/17/20 18:51,No,1902,1001 - 5000,1232
Benchling,California,"Software Engineer,Designer,Operations,Marketing,Sales,Finance/Accounting,Product Manager",4/23/20 19:20,No,2012,51 - 200,32
Better Mortgage,New York,"Software Engineer,Designer,Operations,Marketing,Sales,Customer Service,Finance/Accounting,Data Science,Product Manager",4/23/20 19:20,No,2014,201 - 500,111
Beyond Meat,California,Legal,4/8/20 3:21,No,2009,51 - 200,86
Bidalgo,California,Customer Service,4/17/20 18:51,No,2010,51 - 200,66
"Big Data Federation, Inc.",California,"Software Engineer,Operations",4/23/20 19:20,No,2015,Nov-50,6
Blackstone,New York,"Data Science,Software Engineer",4/8/20 3:09,Yes,1985,51 - 200,59
Blend,"California, New York","Customer Service,Designer,Finance/Accounting,IT,Marketing,Legal,Operations,Product Designer,Software Engineer,Sales",4/22/20 0:30,Yes,2012,201 - 500,178
Bloomberg,New York,Software Engineer,4/27/20 18:51,Yes,1981,1001 - 5000,560
Bloomscape,Michigan,"Product Manager,Operations,Customer Service",4/14/20 14:53,No,2017,10-Jan,3
Blue Apron,California,HR,4/17/20 18:51,No,2012,1001 - 5000,636
Blue Chip Talent,New York,HR,4/17/20 18:51,No,1994,51 - 200,40
Blue Origin,"Washington, Florida, California","Software Engineer,Product Designer,Legal,Other,Data Science",4/8/20 6:19,No,2011,1001 - 5000,780
Boingo Wireless,"California, Ohio","Software Engineer,Product Manager,Finance/Accounting,Marketing,Operations",4/8/20 3:18,No,2001,501 - 1000,296
Bolt,New York,Software Engineer,4/24/20 16:18,No,2013,51 - 200,40
Bond,California,"Software Engineer,Designer,Operations,Marketing,Customer Service,Finance/Accounting,Product Manager,Legal",4/23/20 19:20,No,2006,51 - 200,25
Booz Allen Hamilton,Massachusetts,"Consulting,Software Engineer,Hardware Engineer",4/12/20 19:59,No,1914,10001+,18838
Bowery Farming,New York,Software Engineer,4/16/20 4:58,No,2015,51 - 200,30
Boxbot,California,"Software Engineer,Operations,Marketing",4/23/20 19:20,No,2016,10-Jan,2
Braze,New York,"Software Engineer,Designer,Marketing,Sales,Customer Service,Data Science,Product Manager",4/23/20 19:20,Yes,2011,10-Jan,1
Brex,"California, New York","Software Engineer,Data Science,Product Designer",4/8/20 3:20,No,2017,Nov-50,16
Bright Cellars,Wisconsin,"Software Engineer,Designer,Operations,Finance/Accounting",4/23/20 19:20,No,2014,51 - 200,34
Brightside,California,Product Manager,4/16/20 6:16,No,2003,51 - 200,48
Brightwing,Michigan,Software Engineer,4/22/20 16:10,No,1973,201 - 500,138
Brilliant,California,"Software Engineer,Data Science,Product Designer,Product Manager",4/8/20 3:22,No,2015,Nov-50,10
Broadridge,New Jersey,Software Engineer,4/24/20 16:18,No,1962,5001 - 10000,4533
Bryter,Remote,"Software Engineer,Legal,Product Designer,Business/Strategy,Sales,Marketing",4/10/20 1:00,No,2010,Nov-50,6
Bubble,New York,Business/Strategy,4/9/20 21:16,No,2012,51 - 200,30
Bubbles,California,"Software Engineer,Designer,Marketing",4/23/20 19:20,No,2011,10-Jan,1
Bynder,Netherlands,"Software Engineer,Designer,Operations,Marketing,Sales,Customer Service,Product Manager,Finance/Accounting",4/23/20 19:20,No,2010,501 - 1000,197
C&S Wholesale Grocers,Texas,Operation,4/17/20 18:51,No,1918,5001 - 10000,2544
C.H. Robinson,California,Product Manager,4/17/20 18:51,No,1905,10001+,8301
Calix,California,HR,4/17/20 18:51,No,1999,1001 - 5000,548
Calm,California,Legal,4/8/20 3:37,No,2010,Nov-50,22
Camp,New York,Operation,4/16/20 17:48,No,2011,51 - 200,21
Canepa,Deleware,Operation,4/17/20 18:51,No,1980,Nov-50,18
Capgemini,South Carolina ,"Consulting,Software Engineer,Business/Strategy",4/8/20 17:40,No,1967,10001+,84179
Capital One,"California, Virginia, Texas",Software Engineer,4/8/20 3:23,Yes,1994,10001+,27522
Capsule,New York,"HR,Operations,Product Designer,Product Manager,Software Engineer,Customer Service,Business/Strategy,Finance/Accounting,Marketing,Other",4/16/20 4:58,No,2016,51 - 200,54
Carbon,California,Software Engineer,4/7/20 21:32,No,2013,201 - 500,196
Career Group,New York,Operation,4/16/20 5:20,No,1981,201 - 500,92
Carlisle Interconnect Technologies,Oregon,Data Science,4/17/20 18:51,No,1940,1001 - 5000,618
Carta,California,"Software Engineer,Product Manager",4/23/20 19:20,No,2012,201 - 500,250
Carvana,Arizona,HR,4/17/20 18:51,Yes,2012,1001 - 5000,645
Carver Edison,New York,Software Engineer,4/16/20 4:58,No,2016,10-Jan,2
Cascade,"California, Remote","Product Designer,Software Engineer",4/8/20 22:58,No,2009,10-Jan,0
Catalyst,New York,"Software Engineer,Designer,Marketing,Sales,Customer Service",4/23/20 19:20,No,1990,51 - 200,95
Catchafire,Nevada,Operation,4/17/20 18:51,No,2009,51 - 200,49
Cella,Virginia,Software Engineer,4/22/20 15:56,No,2014,10-Jan,0
Celonis,US,"Marketing,Product Designer,Software Engineer,Sales",4/16/20 1:55,No,2011,501 - 1000,192
Century Group,Massachusetts,HR,4/17/20 18:51,No,1989,201 - 500,114
Cesium,Pennsylvania,"Software Engineer,Designer,Product Manager",4/23/20 19:20,No,1995,Nov-50,8
